Year,Number_of_White Players,Number_of_Minority Players,White_Players_on_Offense ,Minortity_Players_on_Offense ,White_Players_on_Defense ,Minority_Players_on_Defense 
1999,559,1532,394,638,166,893
2000,581,1510,390,642,192,867
2002,569,1522,415,617,154,905
2003,574,1517,413,619,161,898
2005,577,1514,387,645,190,869
2006,559,1532,380,652,179,880
2007,574,1517,401,631,172,887
2008,573,1518,407,625,166,893
2009,563,1528,397,635,166,893
2010,588,1503,422,610,166,893
2011,565,1526,402,630,163,896
2012,535,1556,377,655,158,901
2013,567,1524,425,607,141,918
2014,546,1545,395,637,152,907
2016,477,1614,369,663,108,951